"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 13 21:40:52 MSK 2024","Sat Apr 13 21:41:25 MSK 2024","32635","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02!00_101_UnAuth | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"failed","Sat Apr 13 21:41:27 MSK 2024","Sat Apr 13 21:42:15 MSK 2024","47480","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02.00_102_UnAuth | Markets > Menu item [Shares] > Click button [Try Demo ]  in the block ""Shares trading""",""
"passed","Sat Apr 13 21:40:37 MSK 2024","Sat Apr 13 21:40:52 MSK 2024","14902","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02.00_102_UnReg | Markets > Menu item [Shares] > Click button [Try Demo ]  in the block ""Shares trading""",""
"passed","Sat Apr 06 18:30:47 MSK 2024","Sat Apr 06 18:31:34 MSK 2024","46744","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/AT_01.02!00_101_UnAuth | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"passed","Sat Apr 06 18:31:34 MSK 2024","Sat Apr 06 18:32:04 MSK 2024","29493","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/AT_01.02!00_101_Auth | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"passed","Sat Apr 13 21:40:15 MSK 2024","Sat Apr 13 21:40:36 MSK 2024","21246","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02!00_101_UnReg | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"passed","Sat Apr 13 21:43:07 MSK 2024","Sat Apr 13 21:43:43 MSK 2024","35405","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/TC_01.02!00_101_Auth | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"passed","Sat Apr 13 21:40:15 MSK 2024","Sat Apr 13 21:40:36 MSK 2024","21251","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02!00_101_UnReg | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"passed","Sat Apr 06 18:30:32 MSK 2024","Sat Apr 06 18:30:46 MSK 2024","14230","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/AT_01.02!00_101_UnReg | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"broken","Sat Apr 13 21:42:17 MSK 2024","Sat Apr 13 21:43:06 MSK 2024","48892","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02.00_102_UnAuth | Markets > Menu item [Shares] > Click button [Try Demo ]  in the block ""Shares trading""",""
"passed","Sat Apr 13 21:40:52 MSK 2024","Sat Apr 13 21:41:25 MSK 2024","32633","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unauthorized user","","","","JS/TC_01.02!00_101_UnAuth | Markets > Menu item [Shares] > Click button [Sign up ] in the block ""Shares trading""",""
"passed","Sat Apr 13 21:40:37 MSK 2024","Sat Apr 13 21:40:52 MSK 2024","14899","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Unregistered user","","","","JS/TC_01.02.00_102_UnReg | Markets > Menu item [Shares] > Click button [Try Demo ]  in the block ""Shares trading""",""
"passed","Sat Apr 13 21:43:45 MSK 2024","Sat Apr 13 21:44:23 MSK 2024","37867","JS/US_01.02!00 | Menu [Markets] > Menu item [Shares], FCA license","Authorized  user","","","","JS/TC_01.02.00_102_Auth | Markets > Menu item [Shares] > Click button [Try Demo ]  in the block ""Shares trading""",""
